Order,Ref,Ref_name,DS_SS,Response,Comparison,Control,Type,Tx_mean,Tx_n,Tx_sd,Cx_mean,Cx_n,Cx_sd,SD_pool,Diff_in_means,ES,Hedges_d,Var_d,SE_d,CI_lo_d,CI_up_d,Tx_percent_dead,Tx_n_total,Tx_n_dead,Cx_percent_dead,Cx_n_total,Cx_n_dead,Tx_percent_dead_adj,Tx_n_total_adj,Tx_n_dead_adj,Cx_percent_dead_adj,Cx_n_total_adj,Cx_n_dead_adj,Tx_prob_mort,Cx_prob_mort,logRR,logRR_var,Observed_O,Expected_O_hat,O_hat_var_diff,logOR,logOR_var,Binary_sed_burial,Binary_regression_design,Binary_binary_data_only,Binary_repeated_measures,Binary_control_in_study,Ocean,Region,Updated_Genus,Updated_species,Coral_age_class,Treatment,Exp_details,Other_conditions,Sed_level_standardized,Sed_exposure,Sed_exposure_UoM,Sed_exposure_days,Sed_exposure_mg_cm2,Sed_exposure_mg_d_L,Sed_duration_class,Sed_source,Sed_mineralogy,Sed_grain_class,Sed_grain_micron,Sed_grain_category,Sed_application,Surface_direction,Surface_direction_deg,Coral_age_at_start_expt_days,Coral_age_at_end_expt_days,Coral_days_old_baseline,Additional_notes,
1231,SS13c,Humanes et al. 2017b,SS,larvalsurvival,KI,1,,84,6,15,84,6,15,15,0,0,0,0.333,0.577,-1.13,1.13,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,0,,,0.2,2,d,2,,0.4,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,3,5,fertilization = 0,,
1232,SS13c,Humanes et al. 2017b,SS,larvalsurvival,KI,0,,81,6,23,84,6,15,19.42,-3,-0.155,-0.143,0.334,0.578,-1.28,0.99,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,5,,,7.6,2,d,2,,15.2,short,marine,n/s,1 - silt,7.3micron,1 - very fine,,,,3,5,fertilization = 0,,
1233,SS13c,Humanes et al. 2017b,SS,larvalsurvival,KI,0,,74,6,32,84,6,15,24.99,-10,-0.4,-0.369,0.339,0.582,-1.51,0.77,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,10,,,12.6,2,d,2,,25.2,short,marine,n/s,1 - silt,7.3micron,1 - very fine,,,,3,5,fertilization = 0,,
1234,SS13c,Humanes et al. 2017b,SS,larvalsurvival,KI,0,,88,6,18,84,6,15,16.57,4,0.241,0.223,0.335,0.579,-0.91,1.36,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,30,,,34.6,2,d,2,,69.2,short,marine,n/s,1 - silt,7.3micron,1 - very fine,,,,3,5,fertilization = 0,,
1235,SS13c,Humanes et al. 2017b,SS,larvalsurvival,KI,0,,88,6,16,84,6,15,15.51,4,0.258,0.238,0.336,0.579,-0.9,1.37,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,100,,,110.7,2,d,2,,221.4,short,marine,n/s,1 - silt,7.3micron,1 - very fine,,,,3,5,fertilization = 0,,
1236,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KJ,1,,90.2,4,4.4,90.2,4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"0 mg/L, >3 days, siliciclastic",60 hours,,0,2.5,d,2.5,,0,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,3,5.5,fertilization = 0,,
1237,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KJ,0,,96.1184505,4,2.404,90.2,4,4.4,3.55,5.92,1.669,1.45,0.631,0.795,-0.11,3.01,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"12 mg/L, >3 days, siliciclastic",60 hours,,12,2.5,d,2.5,,30,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1238,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KJ,0,,93.2888431,4,3.206,90.2,4,4.4,3.85,3.09,0.802,0.697,0.53,0.728,-0.73,2.12,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"20 mg/L, >3 days, siliciclastic",60 hours,,20,2.5,d,2.5,,50,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1239,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KJ,0,,91.0610866,4,4.81,90.2,4,4.4,4.61,0.86,0.187,0.162,0.502,0.708,-1.23,1.55,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"34 mg/L, >3 days, siliciclastic",60 hours,,34,2.5,d,2.5,,85,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1240,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KJ,0,,91.2271144,4,2.204,90.2,4,4.4,3.48,1.03,0.295,0.256,0.504,0.71,-1.14,1.65,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"75 mg/L, >3 days, siliciclastic",60 hours,,75,2.5,d,2.5,,187.5,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
