Order,Ref,Ref_name,DS_SS,Response,Comparison,Control,Type,Tx_mean,Tx_n,Tx_sd,Cx_mean,Cx_n,Cx_sd,SD_pool,Diff_in_means,ES,Hedges_d,Var_d,SE_d,CI_lo_d,CI_up_d,Tx_percent_dead,Tx_n_total,Tx_n_dead,Cx_percent_dead,Cx_n_total,Cx_n_dead,Tx_percent_dead_adj,Tx_n_total_adj,Tx_n_dead_adj,Cx_percent_dead_adj,Cx_n_total_adj,Cx_n_dead_adj,Tx_prob_mort,Cx_prob_mort,logRR,logRR_var,Observed_O,Expected_O_hat,O_hat_var_diff,logOR,logOR_var,Binary_sed_burial,Binary_regression_design,Binary_binary_data_only,Binary_repeated_measures,Binary_control_in_study,Ocean,Region,Updated_Genus,Updated_species,Coral_age_class,Treatment,Exp_details,Other_conditions,Sed_level_standardized,Sed_exposure,Sed_exposure_UoM,Sed_exposure_days,Sed_exposure_mg_cm2,Sed_exposure_mg_d_L,Sed_duration_class,Sed_source,Sed_mineralogy,Sed_grain_class,Sed_grain_micron,Sed_grain_category,Sed_application,Surface_direction,Surface_direction_deg,Coral_age_at_start_expt_days,Coral_age_at_end_expt_days,Coral_days_old_baseline,Additional_notes,
1,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AA,1,,0.72,12,0.305,0.72,12,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,adult,Control (no sediment),Not bleached,,0.05,7,d,7,0.35,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
2,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AA,0,,0.72,12,0.305,0.72,12,0.305,0.3,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,adult,Sediment 11 mg/cm2/d,Not bleached,,10.8,7,d,7,75.6,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
3,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AA,0,,0.72,12,0.305,0.72,12,0.305,0.3,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,adult,Sediment 22 mg/cm2/d,Not bleached,,22.4,7,d,7,156.8,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
4,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AA,0,,0.72,12,0.457,0.72,12,0.305,0.39,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,adult,Sediment 40 mg/cm2/d,Not bleached,,39.6,7,d,7,277.2,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
5,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AB,1,,0.66,12,0.381,0.66,12,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Porites,lobata/lutea,adult,Control (no sediment),Not bleached,,0.05,7,d,7,0.35,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
6,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AB,0,,0.67,12,0.381,0.66,12,0.381,0.38,0.01,0.026,0.025,0.167,0.408,-0.77,0.83,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Porites,lobata/lutea,adult,Sediment 11 mg/cm2/d,Not bleached,,10.8,7,d,7,75.6,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
7,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AB,0,,0.67,12,0.457,0.66,12,0.381,0.42,0.01,0.024,0.023,0.167,0.408,-0.78,0.82,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Porites,lobata/lutea,adult,Sediment 22 mg/cm2/d,Not bleached,,22.4,7,d,7,156.8,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
8,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AB,0,,0.67,12,0.61,0.66,12,0.381,0.51,0.01,0.02,0.019,0.167,0.408,-0.78,0.82,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Porites,lobata/lutea,adult,Sediment 40 mg/cm2/d,Not bleached,,39.6,7,d,7,277.2,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
9,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AC,1,,0.65,12,0.305,0.65,12,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Turbinaria,reniformis,adult,Control (no sediment),Not bleached,,0.05,7,d,7,0.35,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
10,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AC,0,,0.65,12,0.381,0.65,12,0.305,0.35,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Turbinaria,reniformis,adult,Sediment 11 mg/cm2/d,Not bleached,,10.8,7,d,7,75.6,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
11,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AC,0,,0.65,12,0.457,0.65,12,0.305,0.39,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Turbinaria,reniformis,adult,Sediment 22 mg/cm2/d,Not bleached,,22.4,7,d,7,156.8,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
12,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AC,0,,0.65,12,0.61,0.65,12,0.305,0.48,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Turbinaria,reniformis,adult,Sediment 40 mg/cm2/d,Not bleached,,39.6,7,d,7,277.2,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
13,DS10,Junjie et al. 2014,DS,fv_fm,AD,1,,0.52,4,0.02,0.52,4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Galaxea,fascicularis,adult,Control (no sediment),Week 1,,0,1,w,7,0,,long,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
14,DS10,Junjie et al. 2014,DS,fv_fm,AE,1,,0.5,4,0.02,0.5,4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Galaxea,fascicularis,adult,Control (no sediment),Week 2,,0,2,w,14,0,,long,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
15,DS10,Junjie et al. 2014,DS,fv_fm,AF,1,,0.5,4,0.02,0.5,4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Galaxea,fascicularis,adult,Control (no sediment),Week 3,,0,3,w,21,0,,long,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
16,DS10,Junjie et al. 2014,DS,fv_fm,AG,1,,0.53,4,0.02,0.53,4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Galaxea,fascicularis,adult,Control (no sediment),Week 4,,0,4,w,28,0,,long,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
17,DS10,Junjie et al. 2014,DS,fv_fm,AD,0,,0.51,4,0.04,0.52,4,0.02,0.03,-0.01,-0.316,-0.275,0.505,0.71,-1.67,1.12,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Galaxea,fascicularis,adult,Sediment treatment,Week 1,,26.4,1,w,7,184.8,,long,artificial,silicon carbide,2c - medium sand,10-300micron,2 - fine,,,,,,,,
18,DS10,Junjie et al. 2014,DS,fv_fm,AE,0,,0.48,4,0,0.5,4,0.02,0.01,-0.02,-1.414,-1.228,0.594,0.771,-2.74,0.28,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Galaxea,fascicularis,adult,Sediment treatment,Week 2,,26.4,2,w,14,369.6,,long,artificial,silicon carbide,2c - medium sand,10-300micron,2 - fine,,,,,,,,
19,DS10,Junjie et al. 2014,DS,fv_fm,AF,0,,0.41,4,0.04,0.5,4,0.02,0.03,-0.09,-2.846,-2.472,0.882,0.939,-4.31,-0.63,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Galaxea,fascicularis,adult,Sediment treatment,Week 3,,26.4,3,w,21,554.4,,long,artificial,silicon carbide,2c - medium sand,10-300micron,2 - fine,,,,,,,,
20,DS10,Junjie et al. 2014,DS,fv_fm,AG,0,,0.41,4,0.02,0.53,4,0.02,0.02,-0.12,-6,-5.212,2.198,1.482,-8.12,-2.31,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Galaxea,fascicularis,adult,Sediment treatment,Week 4,,26.4,4,w,28,739.2,,long,artificial,silicon carbide,2c - medium sand,10-300micron,2 - fine,,,,,,,,
21,DS10,Junjie et al. 2014,DS,fv_fm,AH,1,,0.62,4,0.04,0.62,4,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Goniopora,somaliensis,adult,Control (no sediment),Week 1,,0,1,w,7,0,,long,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
22,DS10,Junjie et al. 2014,DS,fv_fm,AI,1,,0.69,4,0.02,0.69,4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Goniopora,somaliensis,adult,Control (no sediment),Week 2,,0,2,w,14,0,,long,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
23,DS10,Junjie et al. 2014,DS,fv_fm,AJ,1,,0.67,4,0,0.67,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Goniopora,somaliensis,adult,Control (no sediment),Week 3,,0,3,w,21,0,,long,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
24,DS10,Junjie et al. 2014,DS,fv_fm,AK,1,,0.67,4,0.02,0.67,4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Goniopora,somaliensis,adult,Control (no sediment),Week 4,,0,4,w,28,0,,long,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
25,DS10,Junjie et al. 2014,DS,fv_fm,AH,0,,0.61,4,0.06,0.62,4,0.04,0.05,-0.01,-0.196,-0.17,0.502,0.708,-1.56,1.22,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Goniopora,somaliensis,adult,Sediment treatment,Week 1,,26.4,1,w,7,184.8,,long,artificial,silicon carbide,2c - medium sand,10-300micron,2 - fine,,,,,,,,
26,DS10,Junjie et al. 2014,DS,fv_fm,AI,0,,0.54,4,0.04,0.69,4,0.02,0.03,-0.15,-4.743,-4.12,1.561,1.249,-6.57,-1.67,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Goniopora,somaliensis,adult,Sediment treatment,Week 2,,26.4,2,w,14,369.6,,long,artificial,silicon carbide,2c - medium sand,10-300micron,2 - fine,,,,,,,,
27,DS10,Junjie et al. 2014,DS,fv_fm,AJ,0,,0.51,4,0.02,0.67,4,0,0.01,-0.16,-11.314,-9.827,6.536,2.557,-14.84,-4.82,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Goniopora,somaliensis,adult,Sediment treatment,Week 3,,26.4,3,w,21,554.4,,long,artificial,silicon carbide,2c - medium sand,10-300micron,2 - fine,,,,,,,,
28,DS10,Junjie et al. 2014,DS,fv_fm,AK,0,,0.4,4,0.06,0.67,4,0.02,0.04,-0.27,-6.037,-5.244,2.219,1.49,-8.16,-2.32,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Indo-Pacific,Singapore,Goniopora,somaliensis,adult,Sediment treatment,Week 4,,26.4,4,w,28,739.2,,long,artificial,silicon carbide,2c - medium sand,10-300micron,2 - fine,,,,,,,,
29,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AL,-1,,0.693,4,0.01,0.693,4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Control (no sediment),time 0 hr,,0,0,h,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
30,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AL,-1,,0.693,4,0.008,0.693,4,0.01,0.01,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Sediment-treated,time 0 hr,,151,0,h,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
31,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AM,1,,0.659,4,0.01,0.659,4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Control (no sediment),time 12 hr,,0,12,h,0.5,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
32,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AM,0,,0.53,4,0.038,0.659,4,0.01,0.03,-0.13,-4.643,-4.033,1.516,1.231,-6.45,-1.62,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Sediment-treated,time 12 hr,,151,12,h,0.5,75.5,,short,marine,n/s,3a - very fine gravel,<3mm,3 - fine+coarse,,,,,,,,
33,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AN,1,,0.663,4,0.022,0.663,4,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Control (no sediment),time 18 hr,,0,18,h,0.75,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
34,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AN,0,,0.358,4,0.04,0.663,4,0.022,0.03,-0.31,-9.449,-8.207,4.71,2.17,-12.46,-3.95,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Sediment-treated,time 18 hr,,151,18,h,0.75,113.25,,short,marine,n/s,3a - very fine gravel,<3mm,3 - fine+coarse,,,,,,,,
35,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AO,1,,0.716,4,0.022,0.716,4,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Control (no sediment),time 24 hr,,0,24,h,1,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
36,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AO,0,,0.323,4,0.07,0.716,4,0.022,0.05,-0.39,-7.575,-6.579,3.205,1.79,-10.09,-3.07,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Sediment-treated,time 24 hr,,151,24,h,1,151,,short,marine,n/s,3a - very fine gravel,<3mm,3 - fine+coarse,,,,,,,,
37,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AP,1,,0.667,4,0.014,0.667,4,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Control (no sediment),time 36 hr,,0,36,h,1.5,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
38,DS16a,Philipp and Fabricius 2003,DS,fv_fm,AP,0,,-0.056,4,0.128,0.667,4,0.014,0.09,-0.72,-7.941,-6.897,3.473,1.864,-10.55,-3.24,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Great Barrier Reef,Montipora,peltiformis,adult,Sediment-treated,time 36 hr,,151,36,h,1.5,226.5,,short,marine,n/s,3a - very fine gravel,<3mm,3 - fine+coarse,,,,,,,,
39,DS17,Piniak 2007,DS,fv_fm,AQ,1,,0.65,3,0.08,0.65,3,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Control (no sediment or mud),time 6 hr,,0,6,h,0.25,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
40,DS17,Piniak 2007,DS,fv_fm,AQ,0,,0.47,3,0.08,0.65,3,0.08,0.08,-0.18,-2.25,-1.795,0.935,0.967,-3.69,0.1,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Mud,time 6 hr,,301,6,h,0.25,75.25,,short,estuarine,siliciclastic/terrigenous,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
41,DS17,Piniak 2007,DS,fv_fm,AQ,0,,0.59,3,0.04,0.65,3,0.08,0.06,-0.06,-0.949,-0.757,0.714,0.845,-2.41,0.9,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Sand,time 6 hr,,509,6,h,0.25,127.25,,short,marine,carbonate,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
42,DS17,Piniak 2007,DS,fv_fm,AR,1,,0.61,3,0,0.61,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Control (no sediment or mud),time 21 hr,,0,21,h,0.88,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
43,DS17,Piniak 2007,DS,fv_fm,AR,0,,0.59,3,0.01,0.61,3,0,0.01,-0.02,-2.828,-2.257,1.091,1.045,-4.3,-0.21,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Mud,time 21 hr,,301,21,h,0.88,263.38,,short,estuarine,siliciclastic/terrigenous,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
44,DS17,Piniak 2007,DS,fv_fm,AR,0,,0.55,3,0.02,0.61,3,0,0.01,-0.06,-4.243,-3.385,1.622,1.273,-5.88,-0.89,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Sand,time 21 hr,,509,21,h,0.88,445.38,,short,marine,carbonate,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
45,DS17,Piniak 2007,DS,fv_fm,AS,1,,0.61,3,0.02,0.61,3,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Control (no sediment or mud),time 30 hr,,0,30,h,1.25,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
46,DS17,Piniak 2007,DS,fv_fm,AS,0,,0.41,3,0.07,0.61,3,0.02,0.05,-0.2,-3.885,-3.1,1.467,1.211,-5.47,-0.73,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Mud,time 30 hr,,301,30,h,1.25,376.25,,short,estuarine,siliciclastic/terrigenous,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
47,DS17,Piniak 2007,DS,fv_fm,AS,0,,0.37,3,0.11,0.61,3,0.02,0.08,-0.24,-3.036,-2.422,1.156,1.075,-4.53,-0.32,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Sand,time 30 hr,,509,30,h,1.25,636.25,,short,marine,carbonate,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
48,DS17,Piniak 2007,DS,fv_fm,AT,1,,0.6,3,0,0.6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Control (no sediment or mud),time 45 hr,,0,45,h,1.88,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
49,DS17,Piniak 2007,DS,fv_fm,AT,0,,0.16,3,0.06,0.6,3,0,0.04,-0.44,-10.371,-8.275,6.373,2.524,-13.22,-3.33,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Mud,time 45 hr,,301,45,h,1.88,564.38,,short,estuarine,siliciclastic/terrigenous,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
50,DS17,Piniak 2007,DS,fv_fm,AT,0,,0.11,3,0.08,0.6,3,0,0.06,-0.49,-8.662,-6.911,4.647,2.156,-11.14,-2.69,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Montipora,capitata,adult,Sand,time 45 hr,,509,45,h,1.88,954.38,,short,marine,carbonate,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
51,DS17,Piniak 2007,DS,fv_fm,AU,1,,0.64,3,0.05,0.64,3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Control (no sediment or mud),time 6 hr,,0,6,h,0.25,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
52,DS17,Piniak 2007,DS,fv_fm,AU,0,,0.53,3,0.05,0.64,3,0.05,0.05,-0.11,-2.2,-1.755,0.923,0.961,-3.64,0.13,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Mud,time 6 hr,,137,6,h,0.25,34.25,,short,marine,carbonate,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
53,DS17,Piniak 2007,DS,fv_fm,AU,0,,0.6,3,0,0.64,3,0.05,0.04,-0.04,-1.131,-0.903,0.735,0.857,-2.58,0.78,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Sand,time 6 hr,,68,6,h,0.25,17,,short,estuarine,siliciclastic/terrigenous,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
54,DS17,Piniak 2007,DS,fv_fm,AV,1,,0.61,3,0.03,0.61,3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Control (no sediment or mud),time 21 hr,,0,21,h,0.88,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
55,DS17,Piniak 2007,DS,fv_fm,AV,0,,0.42,3,0.04,0.61,3,0.03,0.04,-0.19,-5.374,-4.288,2.199,1.483,-7.19,-1.38,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Mud,time 21 hr,,137,21,h,0.88,119.88,,short,marine,carbonate,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
56,DS17,Piniak 2007,DS,fv_fm,AV,0,,0.55,3,0.02,0.61,3,0.03,0.03,-0.06,-2.353,-1.878,0.961,0.98,-3.8,0.04,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Sand,time 21 hr,,68,21,h,0.88,59.5,,short,estuarine,siliciclastic/terrigenous,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
57,DS17,Piniak 2007,DS,fv_fm,AW,1,,0.57,3,0.05,0.57,3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Control (no sediment or mud),time 30 hr,,0,30,h,1.25,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
58,DS17,Piniak 2007,DS,fv_fm,AW,0,,0.46,3,0.09,0.57,3,0.05,0.07,-0.11,-1.511,-1.206,0.788,0.888,-2.95,0.53,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Mud,time 30 hr,,137,30,h,1.25,171.25,,short,marine,carbonate,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
59,DS17,Piniak 2007,DS,fv_fm,AW,0,,0.46,3,0.09,0.57,3,0.05,0.07,-0.11,-1.511,-1.206,0.788,0.888,-2.95,0.53,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Sand,time 30 hr,,68,30,h,1.25,85,,short,estuarine,siliciclastic/terrigenous,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
60,DS17,Piniak 2007,DS,fv_fm,AX,1,,0.57,3,0.03,0.57,3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Control (no sediment or mud),time 45 hr,,0,45,h,1.88,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
61,DS17,Piniak 2007,DS,fv_fm,AX,0,,0.23,3,0.11,0.57,3,0.03,0.08,-0.34,-4.217,-3.365,1.61,1.269,-5.85,-0.88,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Mud,time 45 hr,,137,45,h,1.88,256.88,,short,marine,carbonate,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
62,DS17,Piniak 2007,DS,fv_fm,AX,0,,0.57,3,0.03,0.57,3,0.03,0.03,0,0,0,0.667,0.816,-1.6,1.6,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,Pacific,Hawaii,Porites,lobata,adult,Sand,time 45 hr,,68,45,h,1.88,127.5,,short,estuarine,siliciclastic/terrigenous,2d - coarse sand,.62-2mm,2 - fine,,,,,,,,
63,DS22,Rushmore 2016 PhD Chapter 3,DS,fv_fm,AY,1,,0.695,6,0.012,0.695,6,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,Atlantic,Florida Keys,Montastraea,cavernosa,adult,"Control, no application",BEFORE treatment - Acclimation,,,24,h,1,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
64,DS22,Rushmore 2016 PhD Chapter 3,DS,fv_fm,AZ,1,,0.667,6,0.017,0.667,6,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,Atlantic,Florida Keys,Montastraea,cavernosa,adult,"Control, no application",AFTER treatment - Recovery,,,72,h,3,0,,short,marine,n/s,3a - very fine gravel,<4mm,3 - fine+coarse,,,,,,,,
65,DS22,Rushmore 2016 PhD Chapter 3,DS,fv_fm,AY,0,,0.675,6,0.012,0.695,6,0.012,0.01,-0.02,-1.633,-1.507,0.428,0.654,-2.79,-0.22,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,Atlantic,Florida Keys,Montastraea,cavernosa,adult,Low sediment depth,BEFORE treatment - Acclimation,,,24,h,1,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
